Client,Symbol/ScripId,Product Type,Quantity,Price,Trade No.,Lots
 TB12445 , SILVERMIC , CarryForWard ,2,38453,110049366,2
 TB12445 , SILVERMIC , CarryForWard ,1,38453,110049367,1
 TB79615 , NATURALGAS , CarryForWard ,1,187.1,710078100,0
 TB37763 , COPPERM , IntraDay ,1,420.7,410062966,0
 TB48125 , CRUDEOILM , IntraDay ,1,4698,210150105,0
 TB12445 , SILVERMIC , IntraDay ,3,38473,110048670,3
 TB12445 , SILVERMIC , IntraDay ,2,38473,110048671,2
 TB12445 , SILVERMIC , IntraDay ,1,38474,110048672,1
 TB12445 , SILVERMIC , IntraDay ,1,38474,110048673,1
 TB12445 , SILVERMIC , IntraDay ,2,38474,110048674,2
 TB12445 , SILVERMIC , IntraDay ,2,38475,110048675,2
 TB0406 , COPPER , IntraDay ,2,420.65,410062868,2
 TB73319 , CRUDEOILM , IntraDay ,1,4698,210150010,0
 TB13421 , COPPERM , CarryForWard ,1,421,410062207,0
 TB23505 , SILVERM , IntraDay ,1,38440,110047256,0
 TB56200 , NICKELM , IntraDay ,1,932.3,510058541,0
 TB79615 , COPPERM , CarryForWard ,1,420.3,410061187,0
 TB12381 , NICKELM , IntraDay ,1,931.7,510057964,0
 TB48125 , CRUDEOILM , IntraDay ,1,4647,210143708,0
 TB14717 , CRUDEOILM , IntraDay ,5,4695,210143736,0
 TB79615 , ALUMINI , CarryForWard ,1,139.15,710075478,1
 TB11706 , SILVERMIC , IntraDay ,1,38430,110045870,1
 TB96893 , NICKEL , IntraDay ,1,931.5,510057803,0
 TB0289 , NICKELM , IntraDay ,3,931.5,510057808,0
 TB0289 , NICKELM , IntraDay ,1,931.5,510057809,0
 TB0289 , NICKELM , IntraDay ,1,931.5,510057810,0
 TB0289 , NICKELM , IntraDay ,2,931.5,510057811,0
 TB23505 , SILVERM , IntraDay ,1,38395,110045531,0
 TB48125 , CRUDEOILM , IntraDay ,1,4646,210142353,0
 TB48125 , CRUDEOILM , IntraDay ,1,4688,210141371,0
 TB79615 , ALUMINI , CarryForWard ,1,138.95,710074830,1
 TB33185 , CRUDEOILM , MarginPlus ,3,4687,210140670,0
 TB48125 , CRUDEOILM , IntraDay ,1,4684,210140210,0
 TB11706 , SILVERMIC , IntraDay ,1,38386,110044944,1
 TB0234 , CRUDEOILM , IntraDay ,3,4693,210138683,0
 TB22848 , COPPER , IntraDay ,1,419.7,410060242,1
 TB29339 , CRUDEOILM , MarginPlus ,1,4674,210135957,0
 TB29339 , CRUDEOILM , IntraDay ,4,4677,210135635,0
 TB13188 , CRUDEOILM , CarryForWard ,1,4675,210135397,0
 TB11706 , SILVERMIC , IntraDay ,1,38334,110044113,1
 TB23505 , SILVERM , IntraDay ,1,38325,110044081,0
 TB79615 , COPPERM , CarryForWard ,1,419.5,410059772,0
 TB22848 , COPPER , IntraDay ,1,420.05,410059408,1
 TB22848 , ZINCMINI , IntraDay ,2,181.1,610083837,2
 TB23505 , SILVERM , IntraDay ,1,38390,110042897,0
 TB22848 , ZINCMINI , IntraDay ,1,181.4,610083317,1
 TB22848 , ZINCMINI , IntraDay ,1,181.4,610083318,1
 TB13421 , COPPERM , CarryForWard ,1,420.1,410057835,0
 TB56200 , NICKELM , IntraDay ,1,928,510053566,0
 TB14662 , CRUDEOILM , IntraDay ,1,4681,210129280,0
 TB14717 , CRUDEOILM , IntraDay ,3,4680,210128277,0
 TB14717 , CRUDEOILM , IntraDay ,2,4680,210128278,0
 TB0234 , COPPERM , IntraDay ,1,420,410056627,0
 TB11706 , SILVERMIC , IntraDay ,1,38393,110041937,1
 TB11706 , SILVERMIC , IntraDay ,1,38382,110041736,1
 TB79615 , CRUDEOILM , CarryForWard ,1,4630,210124357,0
 TB27251 , CRUDEOILM , IntraDay ,1,4663,210123049,0
 TB20929 , NATURALGAS , IntraDay ,1,187.5,710066796,0
 TB29339 , CRUDEOILM , MarginPlus ,1,4663,210120915,0
 TB29339 , CRUDEOILM , IntraDay ,1,4665,210120466,0
 TB29339 , CRUDEOILM , IntraDay ,2,4665,210120467,0
 TB29339 , CRUDEOILM , IntraDay ,1,4665,210120464,0
 TB0234 , CRUDEOILM , IntraDay ,1,4669,210120332,0
 TB27251 , CRUDEOILM , IntraDay ,1,4670,210119800,0
 TB22848 , NATURALGAS , IntraDay ,1,187.5,710066137,0
 TB22848 , NATURALGAS , IntraDay ,1,187.5,710066139,0
 TB0234 , COPPERM , IntraDay ,1,419,410053071,0
 TB13188 , CRUDEOILM , IntraDay ,1,4670,210119307,0
 TB13188 , CRUDEOILM , IntraDay ,1,4670,210119308,0
 TB14662 , CRUDEOILM , IntraDay ,1,4665,210118570,0
 TB11706 , SILVERMIC , IntraDay ,1,38285,110039938,1
 TB96893 , NICKEL , IntraDay ,1,927.8,510050303,0
 TB0234 , CRUDEOILM , IntraDay ,1,4645,210114958,0
 TB11706 , SILVERMIC , IntraDay ,1,38320,110039662,1
 TB0234 , CRUDEOILM , IntraDay ,1,4646,210114320,0
 TB14662 , CRUDEOILM , IntraDay ,1,4647,210113686,0
 TB14662 , CRUDEOILM , IntraDay ,1,4655,210109825,0
 TB13188 , CRUDEOILM , IntraDay ,1,4653,210109522,0
 TB48125 , CRUDEOILM , IntraDay ,1,4654,210109513,0
 TB13328 , CRUDEOILM , IntraDay ,1,4650,210109321,0
 TB14662 , CRUDEOILM , IntraDay ,1,4656,210108855,0
 TB37763 , COPPERM , IntraDay ,1,417,410048860,0
 TB22848 , NATURALGAS , IntraDay ,2,187.3,710063874,0
 TB28056 , CRUDEOILM , IntraDay ,1,4667,210107072,0
 TB0234 , COPPERM , IntraDay ,1,416.6,410048641,0
 TB0234 , COPPERM , IntraDay ,1,416.6,410048605,0
 TB13328 , CRUDEOILM , IntraDay ,1,4667,210106462,0
 TB11706 , SILVERMIC , IntraDay ,1,38360,110038328,1
 TB11706 , SILVERMIC , IntraDay ,1,38320,110036489,1
 TB14662 , CRUDEOILM , IntraDay ,1,4669,210102953,0
 TB11706 , SILVERMIC , IntraDay ,1,38287,110035988,1
 TB10535 , CRUDEOIL , IntraDay ,1,4670,210102366,0
 TB20929 , LEAD , IntraDay ,1,147.95,710062647,0
 TB20929 , LEAD , IntraDay ,1,147.95,710062648,0
 TB0234 , CRUDEOILM , IntraDay ,2,4674,210100825,0
 TB0234 , CRUDEOILM , IntraDay ,1,4674,210100826,0
 TB0234 , CRUDEOILM , IntraDay ,1,4674,210100827,0
 TB11706 , SILVERMIC , IntraDay ,1,38280,110035830,1
 TB14662 , CRUDEOILM , IntraDay ,1,4658,210099525,0
 TB0234 , CRUDEOILM , IntraDay ,4,4657,210099007,0
 TB48125 , CRUDEOILM , IntraDay ,1,4616,210098746,0
 TB27251 , CRUDEOILM , IntraDay ,1,4658,210097941,0
 TB73319 , CRUDEOILM , IntraDay ,1,4655,210093416,0
 TB37763 , COPPERM , IntraDay ,1,417,410047282,0
 TB13328 , CRUDEOILM , IntraDay ,1,4649,210091088,0
 TB73319 , CRUDEOILM , IntraDay ,1,4644,210090795,0
 TB31592 , COPPERM , MarginPlus ,1,417,410047219,0
 TB22848 , CRUDEOILM , IntraDay ,5,4634,210089037,0
 TB33185 , CRUDEOILM , MarginPlus ,3,4634,210089004,0
 TB79615 , SILVERMIC , CarryForWard ,1,38200,110034854,1
 TB48125 , CRUDEOILM , IntraDay ,1,4624,210083900,0
 TB79615 , CRUDEOILM , CarryForWard ,1,4594,210083823,0
 TB22848 , CRUDEOILM , IntraDay ,4,4630,210083543,0
 TB22848 , CRUDEOILM , IntraDay ,1,4630,210083542,0
 TB20929 , LEAD , IntraDay ,2,147.8,710059070,0
 TB48125 , CRUDEOILM , IntraDay ,1,4630,210081018,0
 TB48125 , CRUDEOILM , IntraDay ,1,4602,210079124,0
 TB14463 , COPPER , IntraDay ,1,415.9,410045867,1
 TB28056 , CRUDEOILM , IntraDay ,1,4610,210074019,0
 TB27251 , CRUDEOILM , IntraDay ,1,4601,210070645,0
 TB27251 , CRUDEOILM , IntraDay ,1,4625,210066615,0
 TB48125 , CRUDEOILM , IntraDay ,1,4628,210065766,0
 TB20929 , CRUDEOIL , IntraDay ,1,4631,210065564,0
 TB73215 , COPPERM , MarginPlus ,1,415.75,410045611,0
 TB22848 , NATURALGAS , IntraDay ,2,187.3,710057313,0
 TB29339 , ZINCMINI , IntraDay ,1,177.9,610063159,1
 TB27251 , CRUDEOILM , IntraDay ,1,4618,210063120,0
 TB20929 , CRUDEOIL , IntraDay ,1,4619,210062942,0
 TB31592 , COPPERM , MarginPlus ,1,415.5,410045273,0
 TB27251 , CRUDEOILM , IntraDay ,1,4624,210062575,0
 TB20929 , CRUDEOIL , IntraDay ,1,4625,210062502,0
 TB13188 , CRUDEOILM , IntraDay ,1,4625,210062373,0
 TB33185 , CRUDEOILM , MarginPlus ,1,4625,210062392,0
