tradedate,Client ,turnover,brokerage,IBT 10
,TB0003,27634.05,,2.77
,TB0008,64525,,6.46
,TB0035,19327.5,,60
,TB0056,69310,,100
,TB0193,4526821.25,,220
,TB0219,10700,,20
,TB0305,940371.35,,93.87
,TB0308,335543.2,,33.1
,TB0374,109515,,10.96
,TB0380,122321.75,,0
,TB0408,3553,,0
,TB0423,16616,,0
,TB0559,13011,,80
,TB0569,10436810,,334.22
,TB0648,7212.5,,0.72
,TB0656,943,,0
,TB0826,40693.05,,4.03
,TB0957,5730,,20
,TB10020,2704,,0
,TB10041,113611.9,,11.36
,TB10045,16874.5,,1.68
,TB10074,14496.75,,1.45
,TB10087,15684.5,,0
,TB10102,336.5,,0
,TB10120,107652.25,,10.76
,TB10126,963141.6,,50.54
,TB10178,380991.65,,38.11
,TB10195,2410.75,,0.23
,TB10226,40028.7,,4.01
,TB10287,6304900,,40
,TB10299,1347,,40
,TB10304,94731,,9.48
,TB10341,5832,,0.58
,TB10392,989.25,,0.1
,TB10432,15869.5,,1.59
,TB10569,47565,,4.77
,TB10594,116103.5,,11.61
,TB10637,930,,0
,TB10652,571190,,57.13
,TB10734,392947.35,,39.29
,TB10740,44686.5,,4.47
,TB10747,12525,,1.26
,TB10751,42071.25,,120
,TB10891,3131277.5,,120
,TB10911,32377.9,,3.22
,TB10943,1994889.5,,177.98
,TB10973,74539.5,,7.46
,TB10984,61448.05,,6.14
,TB11002,74485,,7.46
,TB11025,13525,,0
,TB11045,1480.6,,0
,TB11098,83026,,180
,TB11158,93790,,100
,TB11201,3410,,0
,TB11313,27650,,100
,TB11381,4130.5,,0
,TB11389,25751687.5,,860
,TB11395,79431,,7.94
,TB11470,5632.25,,0
,TB11510,169030.5,,360
,TB11515,345889.05,,34.61
,TB11530,50800,,0
,TB11558,86816.15,,28.32
,TB11575,975,,0
,TB11602,573545.95,,57.35
,TB11617,42868.8,,0.7
,TB11630,119221.95,,11.93
,TB11706,478750,,40
,TB11727,6230,,40
,TB11732,35267.15,,3.52
,TB11824,50746,,5.07
,TB11842,2866300,,80
,TB11868,930,,0
,TB11875,421.8,,0
,TB11953,14986.45,,1.52
,TB11968,19438,,1.94
,TB11970,98509.75,,0
,TB11989,45486,,4.54
,TB11990,28825,,0.96
,TB11997,292174.2,,29.22
