AccountCode,COCD1,MONTHNAME,VoucherDate,TradeDate,Vr No.,Narration,Ledger,BRS,Chq No,Debit,Credit,Running Bal.
TB0241,ALL,Jan-19,1/21/2019,1/21/2019,BR10471817,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,907342,,1500,1500
TB0407,ALL,Jan-19,1/21/2019,1/21/2019,BR11171760,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,888364,,5500,5500
TB0537,ALL,Jan-19,1/21/2019,1/21/2019,BP22349662,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,699,6637.46,,-6637.46
TB0802,ALL,Jan-19,1/21/2019,1/21/2019,BP22349661,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,998659,284.46,,-284.46
TB10338,ALL,Jan-19,1/21/2019,1/21/2019,BP22349660,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999014,205.55,,-205.55
TB10409,ALL,Jan-19,1/21/2019,1/21/2019,BP22349659,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999087,840.8,,-840.8
TB10889,ALL,Jan-19,1/21/2019,1/21/2019,BR13271904,NSE_CASH BEING FUND REC THRG ATOM TB108,HDFC3304,Y,193153,,5000,5000
TB11317,ALL,Jan-19,1/21/2019,1/21/2019,BP22349658,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999021,136.84,,-136.84
TB11477,ALL,Jan-19,1/21/2019,1/21/2019,BP22349657,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999857,1265.84,,-1265.84
TB11644,ALL,Jan-19,1/21/2019,1/21/2019,BP35449540,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,891050,21049.16,,-21049.16
TB11706,ALL,Jan-19,1/21/2019,1/21/2019,BR08128390,MCX RECEIVED AMOUNT THROUGH PAYMENT GAT,YESB0112,Y,391219,,2000,2000
TB11867,ALL,Jan-19,1/21/2019,1/21/2019,BP35449539,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,891391,144129.74,,-144129.74
TB12277,ALL,Jan-19,1/21/2019,1/21/2019,BP22349656,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,998987,108,,-108
TB12707,ALL,Jan-19,1/21/2019,1/21/2019,BR15871735,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,239415,,10000,10000
TB12854,ALL,Jan-19,1/21/2019,1/21/2019,BR13271905,NSE_CASH BEING FUND REC THRG ATOM TB128,HDFC3304,Y,213139,,7000,7000
